shape_file_name_3,gdp_german_counties_county_name
Riesa-Großenhain,"Riesa-Großenhain, Landkreis"
Rosenheim,Rosenheim
Rosenheim Städte,"Rosenheim, Landkreis"
Rostock Städte,"Rostock, Hanse- und Universitätsstadt, kreisfreie Stadt"
Rotenburg,"Rotenburg (Wümme), Landkreis"
Roth,"Roth, Landkreis"
Rottal-Inn,"Rottal-Inn, Landkreis"
Rottweil,"Rottweil, Landkreis"
Rügen,"Rügen, Landkreis"
Saale-Holzland,Saale-Holzland-Kreis
Saale-Orla,Saale-Orla-Kreis
Saalfeld-Rudolstadt,"Saalfeld-Rudolstadt, Kreis"
Saalkreis,Saalkreis
Saarbrücken Städte,
Saarlouis,"Saarlouis, Landkreis"
Saarpfalz,Saarpfalz-Kreis
Sächsische Schweiz,"Sächsische Schweiz, Landkreis"
Salzgitter Städte,"Salzgitter, kreisfreie Stadt"
Sangerhausen,"Sangerhausen, Kreis"
Sankt Wendel,
Schaumburg,"Schaumburg, Landkreis"
Schleswig-Flensburg,"Schleswig-Flensburg, Landkreis"
Schmalkalden-Meiningen,"Schmalkalden-Meiningen, Kreis"
Schönebeck,"Schönebeck, Kreis"
Schwabach Städte,Schwabach
Schwäbisch Hall,"Schwäbisch Hall, Landkreis"
Schwalm-Eder-Kreis,Schwalm-Eder-Kreis
Schwandorf,"Schwandorf, Landkreis"
Schwarzwald-Baar-Kreis,"Schwarzwald-Baar-Kreis, Landkreis"
Schweinfurt,Schweinfurt
Schweinfurt Städte,"Schweinfurt, Landkreis"
Schwerin Städte,"Schwerin, Landeshauptstadt, kreisfreie Stadt"
Segeberg,"Segeberg, Landkreis"
Siegen-Wittgenstein,"Siegen-Wittgenstein, Kreis"
Sigmaringen,"Sigmaringen, Landkreis"
Soest,"Soest, Kreis"
Solingen Städte,"Solingen, kreisfreie Stadt"
Soltau-Fallingbostel,
Sömmerda,"Sömmerda, Kreis"
Sonneberg,"Sonneberg, Kreis"
Speyer Spires Städte,"Speyer, kreisfreie Stadt"
Spree-Neiße,"Spree-Neiße, Landkreis"
Stade,"Stade, Landkreis"
Starnberg,"Starnberg, Landkreis"
Steinburg,"Steinburg, Landkreis"
Steinfurt,"Steinfurt, Kreis"
Stendal,"Stendal, Kreis"
Stollberg,"Stollberg, Landkreis"
Stormarn,"Stormarn, Landkreis"
Stralsund Städte,"Stralsund, Hansestadt, kreisfreie Stadt"
Straubing Städte,Straubing
Straubing-Bogen,"Straubing-Bogen, Landkreis"
Stuttgart Städte,"Stuttgart, Landeshauptstadt, Stadtkreis"
Südliche Weinstraße,"Südliche Weinstraße, Landkreis"
Südwestpfalz,"Südwestpfalz, Landkreis"
Suhl Städte,"Suhl, kreisfreie Stadt"
